% Model:              B0-sweep_MappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 14:12
% Dimension:          2
% Nodes:              1421
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, z-coordinate
% Length unit:        mm
% r                       z                        ec.Jr (A/m^2)            v (m/s)                  z (mm)
0.10412212647122547       0.5                      20.153508363926733       -2.5654679734688E-5      0.5
0.10415951108439445       0.5                      20.146109594485438       -2.587306467237321E-5    0.5
0.10419708313464826       0.5                      20.13867828664661        -2.609203880255275E-5    0.5
0.10423465518490213       0.5                      20.131247138676144       -2.6311012932732385E-5   0.5
0.10427241561200344       0.5                      20.12378317154662        -2.6530574975721303E-5   0.5
0.10431017603910475       0.5                      20.116319275754222       -2.6750137018710112E-5   0.5
0.10434812578752786       0.5                      20.10882242559967        -2.697028565663407E-5    0.5
0.10438607553595099       0.5                      20.10132564589486        -2.719043429455809E-5    0.5
0.10442421555490558       0.5                      20.09379561759249        -2.7411168170975246E-5   0.5
0.10446235557386015       0.5                      20.086265732849995       -2.763190204739241E-5    0.5
0.10450068681731503       0.5                      20.078702356831855       -2.7853219766912932E-5   0.5
0.10453901806076987       0.5                      20.071139124255126       -2.8074537486433462E-5   0.5
0.1045775414874767        0.5                      20.063542160673137       -2.829643761433609E-5    0.5
0.10461606491418353       0.5                      20.055945308318996       -2.851833774223873E-5    0.5
0.10465478148770105       0.5                      20.048314514222398       -2.874081880408687E-5    0.5
0.10469349806121858       0.5                      20.04068384979894        -2.896329986593502E-5    0.5
0.10473240874993646       0.5                      20.033018960153186       -2.91863603471884E-5     0.5
0.10477131943865434       0.5                      20.025354209062925       -2.940942082844179E-5    0.5
0.10481042521581763       0.5                      20.01765504836669        -2.9633059174068693E-5   0.5
0.10484953099298093       0.5                      20.009955969217458       -2.9856697519695608E-5   0.5
0.10488883283671413       0.5                      20.00222219773252        -3.008091213377987E-5    0.5
0.10492813468044737       0.5                      19.994488562052425       -3.0305126747864176E-5   0.5
0.10496763357377929       0.5                      19.98672001074283        -3.052991599321344E-5    0.5
0.10500713246711116       0.5                      19.978951525819753       -3.075470523856268E-5    0.5
0.10504682939799895       0.5                      19.97114789913178        -3.098006743631093E-5    0.5
0.10508652632888676       0.5                      19.963344388383348       -3.120542963405919E-5    0.5
0.10512642229024129       0.5                      19.95550541971363        -3.143136306327114E-5    0.5
0.10516631825159581       0.5                      19.94766654734366        -3.165729649248311E-5    0.5
0.10520641424130579       0.5                      19.93979202590117        -3.1883799389751963E-5   0.5
0.10524651023101582       0.5                      19.93191760673085        -3.2110302287020816E-5   0.5
0.10528680725197348       0.5                      19.92400721831075        -3.2337372846069013E-5   0.5
0.10532710427293117       0.5                      19.916096927962712       -3.2564443405117285E-5   0.5
0.10536760333305673       0.5                      19.908150441459043       -3.279207977639037E-5    0.5
0.1054081023931823        0.5                      19.90020406580055        -3.301971614766343E-5    0.5
0.10544880450544952       0.5                      19.89222116338283        -3.324791643792521E-5    0.5
0.1054895066177168        0.5                      19.884238400594256       -3.347611672818707E-5    0.5
0.10553041280017836       0.5                      19.87621884939915        -3.3704879000111726E-5   0.49999999999999994
0.1055713189826399        0.5                      19.86819943069662        -3.3933641272036336E-5   0.5
0.10561243025845253       0.5                      19.86014298689338        -3.416296354379735E-5    0.5
0.1056535415342652        0.5                      19.852086652869332       -3.4392285815558374E-5   0.5
0.1056948589317156        0.5                      19.843992977740186       -3.462216606041707E-5    0.5
0.10573617632916603       0.5                      19.83589942546439        -3.4852046305275774E-5   0.5
0.10577770088169647       0.5                      19.827768249182782       -3.508248245116797E-5    0.5
0.10581922543422691       0.5                      19.819637236978963       -3.531291859706013E-5    0.5
0.1058609581804611        0.5                      19.81146831082026        -3.5543908526178445E-5   0.5
0.10590269092669527       0.5                      19.803299468533396       -3.577489845529691E-5    0.5
0.10594463291046424       0.5                      19.795092492399135       -3.6006440003674514E-5   0.5
0.1059865748942332        0.5                      19.78688562496967        -3.623798155205212E-5    0.5
0.10602872716460154       0.5                      19.778640273933092       -3.647007250914135E-5    0.5
0.10607087943496987       0.5                      19.77039501309264        -3.6702163466230544E-5   0.5
0.10611324304626187       0.5                      19.762111033290125       -3.6934801574481584E-5   0.49999999999999994
0.1061556066575539        0.5                      19.753827155154113       -3.716743968273272E-5    0.5
0.10619818266938003       0.5                      19.745504169777178       -3.740062263717053E-5    0.5
0.10624075868120617       0.5                      19.73718134572556        -3.763380559160828E-5    0.5
0.10628354815848959       0.5                      19.72881912480443        -3.786753103940576E-5    0.5
0.10632633763577298       0.5                      19.720457050704624       -3.810125648720336E-5    0.5
0.10636934164877587       0.5                      19.712055270851124       -3.83355220272541E-5     0.5
0.10641234566177878       0.5                      19.703653624224387       -3.856978756730487E-5    0.5
0.1064555652861296        0.5                      19.695211992808026       -3.880459074979467E-5    0.5
0.1064987849104804        0.5                      19.686770449638175       -3.90393939322845E-5     0.5
0.10654222122720036       0.5                      19.678288604509248       -3.927473225825894E-5    0.49999999999999994
0.10658565754392034       0.5                      19.66980688801101        -3.951007058423342E-5    0.5
0.10662931163945076       0.5                      19.66128452797534        -3.974594150516588E-5    0.5
