% Model:              Height_Sweep_HighdefMappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 22:47
% Dimension:          2
% Nodes:              28470
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, 
% Length unit:        mm
% r                       z                        height                   ec.Jr (A/m^2)            v (m/s)                  height (mm)
0.10797250372203301       0.25                     5.0E-4                   39.81181968559969        -4.739799134321125E-5    0.5
0.10816688301573128       0.25                     5.0E-4                   39.73279036345215        -4.8414828297707374E-5   0.5
0.10836212604484366       0.25                     5.0E-4                   39.65334121028542        -4.9423380035055906E-5   0.5
0.10855736907395604       0.25                     5.0E-4                   39.57389158641212        -5.043193177240448E-5    0.5
0.10875347967653978       0.25                     5.0E-4                   39.49399829604141        -5.1432155043750345E-5   0.5
0.10894959027912354       0.25                     5.0E-4                   39.41410449626983        -5.243237831509629E-5    0.5
0.1091465723102906        0.25                     5.0E-4                   39.33374344561071        -5.342422998603954E-5    0.5
0.10934355434145761       0.25                     5.0E-4                   39.253381860021136       -5.4416081656982624E-5   0.5
0.10954141167345023       0.25                     5.0E-4                   39.172529704837075       -5.53995187269655E-5     0.5
0.10973926900544287       0.25                     5.0E-4                   39.09167697655613        -5.638295579694843E-5    0.5
0.10993800552770999       0.25                     5.0E-4                   39.01031064591041        -5.735793541909418E-5    0.5
0.11013674204997712       0.25                     5.0E-4                   38.92894370805874        -5.8332915041239926E-5   0.5
0.11033636166925057       0.25                     5.0E-4                   38.847040429181675       -5.9299394542636655E-5   0.5
0.11053598128852402       0.25                     5.0E-4                   38.76513650913239        -6.0265874044033364E-5   0.5
0.11073648792889537       0.25                     5.0E-4                   38.68267382856072        -6.122381094646474E-5    0.5
0.11093699456926673       0.25                     5.0E-4                   38.6002104695969         -6.21817478488961E-5     0.5
0.1111383921722646        0.25                     5.0E-4                   38.51716625799975        -6.31310998900137E-5     0.5
0.11133978977526247       0.25                     5.0E-4                   38.43412132928353        -6.408045193113128E-5    0.5
0.11154208229992976       0.25                     5.0E-4                   38.35047380042124        -6.502117708606338E-5    0.5
0.11174437482459704       0.25                     5.0E-4                   38.266825519636654       -6.596190224099551E-5    0.5
0.11194756624756895       0.25                     5.0E-4                   38.182553262105216       -6.689395874439125E-5    0.5
0.11215075767054086       0.25                     5.0E-4                   38.09828020949948        -6.7826015247787E-5      0.5
0.11235485198612298       0.25                     5.0E-4                   38.01336217624032        -6.874936161628778E-5    0.5
0.1125589463017051        0.25                     5.0E-4                   37.92844331258323        -6.967270798478859E-5    0.5
0.11276394752195197       0.25                     5.0E-4                   37.84285885784652        -7.058730303992371E-5    0.5
0.11296894874219884       0.25                     5.0E-4                   37.75727353539179        -7.150189809505886E-5    0.5
0.11317486089699269       0.25                     5.0E-4                   37.67100242940569        -7.24077009865571E-5     0.5
0.11338077305178654       0.25                     5.0E-4                   37.58473041779013        -7.331350387805534E-5    0.5
0.11358760018891678       0.25                     5.0E-4                   37.49775285599151        -7.421047410756891E-5    0.5
0.11379442732604703       0.25                     5.0E-4                   37.410774344023025       -7.510744433708247E-5    0.5
0.11400217351128952       0.25                     5.0E-4                   37.3230709705399         -7.599554178231165E-5    0.5
0.114209919696532         0.25                     5.0E-4                   37.23536660790313        -7.688363922754084E-5    0.5
0.11441858901372914       0.25                     5.0E-4                   37.1469185275688         -7.776282416675624E-5    0.5
0.11462725833092628       0.25                     5.0E-4                   37.05846941755294        -7.864200910597164E-5    0.5
0.11483685488206724       0.25                     5.0E-4                   36.96925821646107        -7.951224224292167E-5    0.5
0.11504645143320821       0.25                     5.0E-4                   36.88004594245979        -8.038247537987177E-5    0.5
0.11525697933850959       0.25                     5.0E-4                   36.790053706465756       -8.124371786906859E-5    0.5
0.11546750724381095       0.25                     5.0E-4                   36.70006035692717        -8.21049603582654E-5     0.5
0.11567897064179782       0.25                     5.0E-4                   36.609269682983836       -8.295717383063791E-5    0.5
0.11589043403978468       0.25                     5.0E-4                   36.518477857551886       -8.380938730301049E-5    0.5
0.11610283708737183       0.25                     5.0E-4                   36.42687188030732        -8.46525338919146E-5     0.5
0.116315240134959         0.25                     5.0E-4                   36.33526470257266        -8.549568048081877E-5    0.5
0.11652858700753263       0.25                     5.0E-4                   36.24282710594639        -8.6329722848393E-5      0.5
0.11674193388010631       0.25                     5.0E-4                   36.15038826088346        -8.71637652159674E-5     0.5
0.11695622877160643       0.25                     5.0E-4                   36.05710329014437        -8.798866657982404E-5    0.5
0.11717052366310651       0.25                     5.0E-4                   35.96381702463691        -8.881356794368059E-5    0.5
0.11738577078610883       0.25                     5.0E-4                   35.86966950634098        -8.962929210391498E-5    0.5
0.11760101790911116       0.25                     5.0E-4                   35.77552065458059        -9.044501626414946E-5    0.5
0.11781722149491042       0.25                     5.0E-4                   35.6804960272774         -9.125152763066032E-5    0.5
0.11803342508070966       0.25                     5.0E-4                   35.58547001876758        -9.205803899717126E-5    0.5
0.11825058937940255       0.25                     5.0E-4                   35.48955432808691        -9.285530261727274E-5    0.5
0.11846775367809545       0.25                     5.0E-4                   35.39363721825288        -9.365256623737428E-5    0.5
0.11868588295866417       0.25                     5.0E-4                   35.296817151217965       -9.444054782368661E-5    0.5
0.11890401223923286       0.25                     5.0E-4                   35.19999561735676        -9.522852940999892E-5    0.5
0.11912311078962909       0.25                     5.0E-4                   35.1022585144259         -9.600719536860335E-5    0.5
0.11934220934002532       0.25                     5.0E-4                   35.00451989671035        -9.678586132720787E-5    0.5
0.1195622814672545        0.25                     5.0E-4                   34.90585376252318        -9.755517878604738E-5    0.5
0.11978235359448366       0.25                     5.0E-4                   34.807186067576254       -9.832449624488694E-5    0.5
0.12000340362468967       0.25                     5.0E-4                   34.70757959033915        -9.908443308239719E-5    0.5
0.12022445365489566       0.25                     5.0E-4                   34.60797150795048        -9.984436991990748E-5    0.5
0.12044648593344581       0.25                     5.0E-4                   34.50741408130182        -1.0059489479385874E-4   0.5
0.12066851821199598       0.25                     5.0E-4                   34.40685500018424        -1.0134541966781013E-4   0.5
0.12089153710356651       0.25                     5.0E-4                   34.305336734137654       -1.0208650204434299E-4   0.5
0.12111455599513705       0.25                     5.0E-4                   34.203816766009254       -1.028275844208759E-4    0.5
0.12133856588379884       0.25                     5.0E-4                   34.10132849828369        -1.0355919460370972E-4   0.5
0.12156257577246062       0.25                     5.0E-4                   33.998838488916704       -1.0429080478654359E-4   0.5
0.12178758106176546       0.25                     5.0E-4                   33.89537181509195        -1.0501291394633919E-4   0.5
0.1220125863510703        0.25                     5.0E-4                   33.79190335107103        -1.0573502310613485E-4   0.5
0.1222385914641374        0.25                     5.0E-4                   33.687450622936694       -1.0644760330998874E-4   0.5
0.1224645965772045        0.25                     5.0E-4                   33.58299606213416        -1.0716018351384263E-4   0.5
0.12269160595680742       0.25                     5.0E-4                   33.47755041913274        -1.0786320775489215E-4   0.5
0.12291861533641033       0.25                     5.0E-4                   33.37210289544578        -1.0856623199594173E-4   0.5
0.12314663344506441       0.25                     5.0E-4                   33.26565826523529        -1.0925967422305887E-4   0.5
0.12337465155371848       0.25                     5.0E-4                   33.15921170468255        -1.0995311645017605E-4   0.5
0.12360368287376838       0.25                     5.0E-4                   33.05176281953959        -1.1063695159772472E-4   0.5
0.1238327141938183        0.25                     5.0E-4                   32.94431196279413        -1.1132078674527351E-4   0.5
0.12406276322752641       0.25                     5.0E-4                   32.83585438773616        -1.119949907629092E-4    0.5
0.12429281226123451       0.25                     5.0E-4                   32.727394794453176       -1.1266919478054494E-4   0.5
0.1245238835308691        0.25                     5.0E-4                   32.61792492008158        -1.1333374466302864E-4   0.5
0.12475495480050369       0.25                     5.0E-4                   32.508452981796154       -1.1399829454551239E-4   0.5
0.12498705284842812       0.25                     5.0E-4                   32.39796805331912        -1.1465316836251638E-4   0.5
